calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 2321.428571 459.183673 0.823403 0.010000 0.000000 0.000000 0.010000 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.010000 2321.428571 459.183673 0.823403 0.018650 0.009334 0.000000 0.020071 0.000000 0.000009 0.000000 0.000000 0.000000 0.000000 
1 0.020000 2321.428571 459.183673 0.823403 0.027300 0.018667 0.000000 0.030143 0.000000 0.000015 0.000000 0.000000 0.000000 0.000000 
1 0.030000 2321.428571 459.183673 0.823403 0.035949 0.028001 0.000000 0.040214 0.000000 0.000021 0.000000 0.000000 0.000000 0.000000 
1 0.040000 2321.428571 459.183673 0.823403 0.044599 0.037334 0.000000 0.050285 0.000000 0.000027 0.000000 0.000000 0.000000 0.000000 
1 0.050000 2321.428571 459.183673 0.823403 0.053249 0.046668 0.000000 0.060357 0.000000 0.000033 0.000000 0.000000 0.000000 0.000000 
1 0.060000 2321.428571 459.183673 0.823403 0.061899 0.056001 0.000000 0.070428 0.000000 0.000039 0.000000 0.000000 0.000000 0.000000 
1 0.070000 2321.428571 459.183673 0.823403 0.070548 0.065335 0.000000 0.080500 0.000000 0.000045 0.000000 0.000000 0.000000 0.000000 
1 0.080000 2321.428571 459.183673 0.823403 0.079198 0.074668 0.000000 0.090571 0.000000 0.000051 0.000000 0.000000 0.000000 0.000000 
1 0.090000 2321.428571 459.183673 0.823403 0.087848 0.084002 0.000000 0.100642 0.000000 0.000057 0.000000 0.000000 0.000000 0.000000 
1 0.100000 2321.428571 459.183673 0.823403 0.096498 0.093335 0.000000 0.110714 0.000000 0.000063 0.000000 0.000000 0.000000 0.000000 
1 0.110000 2321.428571 459.183673 0.823403 0.105147 0.102669 0.000000 0.120785 0.000000 0.000069 0.000000 0.000000 0.000000 0.000000 
1 0.120000 2321.428571 459.183673 0.823403 0.113797 0.112002 0.000000 0.130856 0.000000 0.000075 0.000000 0.000000 0.000000 0.000000 
1 0.130000 2321.428571 459.183673 0.823403 0.122447 0.121336 0.000000 0.140928 0.000000 0.000081 0.000000 0.000000 0.000000 0.000000 
1 0.140000 2321.428571 459.183673 0.823403 0.131097 0.130670 0.000000 0.150999 0.000000 0.000087 0.000000 0.000000 0.000000 0.000000 
1 0.150000 2321.428571 459.183673 0.823403 0.139746 0.140003 0.000000 0.161070 0.000000 0.000093 0.000000 0.000000 0.000000 0.000000 
1 0.160000 2321.428571 459.183673 0.823403 0.148396 0.149337 0.000000 0.171142 0.000000 0.000099 0.000000 0.000000 0.000000 0.000000 
1 0.170000 2321.428571 459.183673 0.823403 0.157046 0.158670 0.000000 0.181213 0.000000 0.000105 0.000000 0.000000 0.000000 0.000000 
1 0.180000 2321.428571 459.183673 0.823403 0.165696 0.168004 0.000000 0.191285 0.000000 0.000111 0.000000 0.000000 0.000000 0.000000 
1 0.190000 2321.428571 459.183673 0.823403 0.174345 0.177337 0.000000 0.201356 0.000000 0.000116 0.000000 0.000000 0.000000 0.000000 
1 0.200000 2321.428571 459.183673 0.823403 0.182995 0.186671 0.000000 0.211427 0.000000 0.000122 0.000000 0.000000 0.000000 0.000000 
1 0.210000 2321.428571 459.183673 0.823403 0.191645 0.196004 0.000000 0.221499 0.000000 0.000128 0.000000 0.000000 0.000000 0.000000 
1 0.220000 2323.979227 461.935962 0.756395 0.202400 0.204447 -0.000331 0.231273 0.000350 0.000134 3.752458 -0.067008 0.000000 0.000000 
1 0.230000 2326.710986 464.513683 0.823465 0.213891 0.211025 -0.000701 0.244011 0.000694 0.000140 3.755949 0.067071 0.000000 0.000000 
1 0.240000 2326.710986 464.513683 0.823465 0.222539 0.220359 -0.000701 0.254083 0.000694 0.000146 0.000000 0.000000 0.000000 0.000000 
1 0.250000 2326.710986 464.513683 0.823465 0.231188 0.229692 -0.000701 0.264156 0.000694 0.000152 0.000000 0.000000 0.000000 0.000000 
1 0.260000 2326.710986 464.513683 0.823465 0.239836 0.239025 -0.000701 0.274228 0.000694 0.000158 0.000000 0.000000 0.000000 0.000000 
1 0.270000 2326.710986 464.513683 0.823465 0.248485 0.248359 -0.000701 0.284301 0.000694 0.000164 0.000000 0.000000 0.000000 0.000000 
1 0.280000 2326.710986 464.513683 0.823465 0.257134 0.257692 -0.000701 0.294373 0.000694 0.000170 0.000000 0.000000 0.000000 0.000000 
1 0.290000 2326.710986 464.513683 0.823465 0.265782 0.267026 -0.000701 0.304446 0.000694 0.000176 0.000000 0.000000 0.000000 0.000000 
1 0.300000 2326.710986 464.513683 0.823465 0.274431 0.276359 -0.000701 0.314518 0.000694 0.000182 0.000000 0.000000 0.000000 0.000000 
1 0.310000 2326.710986 464.513683 0.823465 0.283079 0.285693 -0.000701 0.324591 0.000694 0.000188 0.000000 0.000000 0.000000 0.000000 
1 0.320000 2326.710986 464.513683 0.823465 0.291728 0.295026 -0.000701 0.334663 0.000694 0.000194 0.000000 0.000000 0.000000 0.000000 
1 0.330000 2326.710986 464.513683 0.823465 0.300377 0.304360 -0.000701 0.344736 0.000694 0.000200 0.000000 0.000000 0.000000 0.000000 
1 0.340000 2326.710986 464.513683 0.823465 0.309025 0.313693 -0.000701 0.354809 0.000694 0.000206 0.000000 0.000000 0.000000 0.000000 
1 0.350000 2326.710986 464.513683 0.823465 0.317674 0.323026 -0.000701 0.364881 0.000694 0.000212 0.000000 0.000000 0.000000 0.000000 
1 0.360000 2326.710986 464.513683 0.823465 0.326322 0.332360 -0.000701 0.374954 0.000694 0.000218 0.000000 0.000000 0.000000 0.000000 
1 0.370000 2326.710986 464.513683 0.823465 0.334971 0.341693 -0.000701 0.385026 0.000694 0.000224 0.000000 0.000000 0.000000 0.000000 
1 0.380000 2329.261470 467.266131 0.756457 0.349969 0.345765 -0.001278 0.399298 0.001305 0.000230 3.752458 -0.067008 0.000000 0.000000 
1 0.390000 2329.261470 467.266131 0.756457 0.359871 0.355110 -0.001278 0.408117 0.001305 0.000236 0.000000 0.000000 0.000000 0.000000 
1 0.400000 2331.993068 469.844023 0.823527 0.377349 0.355929 -0.001927 0.426388 0.001907 0.000242 3.755949 0.067071 0.000000 0.000000 
1 0.410000 2331.993068 469.844023 0.823527 0.385996 0.365262 -0.001927 0.436462 0.001907 0.000248 0.000000 0.000000 0.000000 0.000000 
1 0.420000 2331.993068 469.844023 0.823527 0.394644 0.374596 -0.001927 0.446536 0.001907 0.000254 0.000000 0.000000 0.000000 0.000000 
1 0.430000 2331.993068 469.844023 0.823527 0.403291 0.383929 -0.001927 0.456610 0.001907 0.000260 0.000000 0.000000 0.000000 0.000000 
1 0.440000 2331.993068 469.844023 0.823527 0.411939 0.393262 -0.001927 0.466683 0.001907 0.000266 0.000000 0.000000 0.000000 0.000000 
1 0.450000 2331.993068 469.844023 0.823527 0.420586 0.402596 -0.001927 0.476757 0.001907 0.000272 0.000000 0.000000 0.000000 0.000000 
1 0.460000 2331.993068 469.844023 0.823527 0.429234 0.411929 -0.001927 0.486831 0.001907 0.000278 0.000000 0.000000 0.000000 0.000000 
1 0.470000 2331.993068 469.844023 0.823527 0.437881 0.421262 -0.001927 0.496904 0.001907 0.000284 0.000000 0.000000 0.000000 0.000000 
1 0.480000 2331.993068 469.844023 0.823527 0.446528 0.430596 -0.001927 0.506978 0.001907 0.000290 0.000000 0.000000 0.000000 0.000000 
1 0.490000 2331.993068 469.844023 0.823527 0.455176 0.439929 -0.001927 0.517052 0.001907 0.000296 0.000000 0.000000 0.000000 0.000000 
1 0.500000 2334.543381 472.596630 0.756519 0.476967 0.437026 -0.002689 0.538479 0.002713 0.000302 3.752458 -0.067008 0.000000 0.000000 
1 0.510000 2337.274818 475.174691 0.823590 0.502719 0.429899 -0.003520 0.564370 0.003483 0.000308 3.755949 0.067071 0.000000 0.000000 
1 0.520000 2337.274818 475.174691 0.823590 0.511365 0.439232 -0.003520 0.574445 0.003483 0.000313 0.000000 0.000000 0.000000 0.000000 
1 0.530000 2337.274818 475.174691 0.823590 0.520012 0.448566 -0.003520 0.584520 0.003483 0.000319 0.000000 0.000000 0.000000 0.000000 
1 0.540000 2337.274818 475.174691 0.823590 0.528658 0.457899 -0.003520 0.594595 0.003483 0.000325 0.000000 0.000000 0.000000 0.000000 
1 0.550000 2337.274818 475.174691 0.823590 0.537304 0.467232 -0.003520 0.604670 0.003483 0.000331 0.000000 0.000000 0.000000 0.000000 
1 0.560000 2337.274818 475.174691 0.823590 0.545950 0.476565 -0.003520 0.614745 0.003483 0.000337 0.000000 0.000000 0.000000 0.000000 
1 0.570000 2337.274818 475.174691 0.823590 0.554597 0.485899 -0.003520 0.624819 0.003483 0.000343 0.000000 0.000000 0.000000 0.000000 
